nID;nID_Subject;sOKPO;sFormPrivacy;sName;sNameFull
144;560;;;Вільногірський міський ДРАЦС;Вільногірський міський відділ державної реєстрації актів цивільного стану 
145;561;;;Жовтоводський міський ДРАЦС;Жовтоводський міський відділ державної реєстрації актів цивільного стану
146;562;;;Покровський міський ДРАЦС;Покровський міський відділ державної реєстрації актів цивільного стану
147;563;;;Павлоградський міський ДРАЦС;Павлоградський міський відділ державної реєстрації актів цивільного стану
148;564;;;Першотравенський міський ДРАЦС;Першотравенський міський відділ державної реєстрації актів цивільного стану
149;565;;;Тернівський міський ДРАЦС;Тернівський міський відділ державної реєстрації актів цивільного стану
150;566;;;Нікопольський міськрайонний ДРАЦС;Нікопольський міськрайонний відділ державної реєстрації актів цивільного стану
151;567;;;Новомосковський міськрайонний ДРАЦС;Новомосковський міськрайонний відділ державної реєстрації актів цивільного стану
152;568;;;Синельниківський міськрайонний ДРАЦС;Синельниківський міськрайонний відділ державної реєстрації актів цивільного стану
153;569;;;Апостолівський районний ДРАЦС;Апостолівський районний відділ державної реєстрації актів цивільного стану 
154;570;;;Васильківський районний ДРАЦС;Васильківський районний відділ державної реєстрації актів цивільного стану
155;571;;;Верхньодніпровський районний ДРАЦС;Верхньодніпровський районний відділ державної реєстрації актів цивільного стану
156;572;;;Дніпропетровський районний ДРАЦС;Дніпропетровський районний відділ державної реєстрації актів цивільного стану
157;573;;;Криворізький районний ДРАЦС;Криворізький районний відділ державної реєстрації актів цивільного стану
158;574;;;Криничанський районний ДРАЦС;Криничанський районний відділ державної реєстрації актів цивільного стану
159;575;;;Магдалинівський районний ДРАЦС;Магдалинівський районний відділ державної реєстрації актів цивільного стану
160;576;;;Межівський районний ДРАЦС;Межівський районний відділ державної реєстрації актів цивільного стану
161;577;;;Павлоградський районний ДРАЦС;Павлоградський районний відділ державної реєстрації актів цивільного стану
162;578;;;Петриківський районний ДРАЦС;Петриківський районний відділ державної реєстрації актів цивільного стану
163;579;;;Покровський районний ДРАЦС;Покровський районний відділ державної реєстрації актів цивільного стану
164;580;;;П’ятихатський районний ДРАЦС;П’ятихатський районний відділ державної реєстрації актів цивільного стану
165;581;;;Солонянський районний ДРАЦС;Солонянський районний відділ державної реєстрації актів цивільного стану
166;582;;;Софіївський районний ДРАЦС;Софіївський районний відділ державної реєстрації актів цивільного стану
167;583;;;Томаківський районний ДРАЦС;Томаківський районний відділ державної реєстрації актів цивільного стану
168;584;;;Царичанський районний ДРАЦС;Царичанський районний відділ державної реєстрації актів цивільного стану
169;585;;;Широківський районний ДРАЦС;Широківський районний відділ державної реєстрації актів цивільного стану
170;586;;;Юр’ївський районний ДРАЦС;Юр’ївський районний відділ державної реєстрації актів цивільного стану
171;587;;;Перша Дніпропетровська ДНК;Перша Дніпропетровська днк
172;588;;;Друга Дніпропетровська ДНК;Друга Дніпропетровська днк
173;589;;;Третя Дніпропетровська ДНК;Третя Дніпропетровська днк
174;590;;;Четверта Дніпропетровська ДНК;Четверта Дніпропетровська днк
175;591;;;П’ята Дніпропетровська ДНК;П’ята Дніпропетровська днк
176;592;;;Шоста Дніпропетровська ДНК;Шоста Дніпропетровська днк
177;593;;;Сьома Дніпропетровська ДНК;Сьома Дніпропетровська днк
178;594;;;Восьма Дніпропетровська ДНК;Восьма Дніпропетровська днк
179;595;;;Перша Кам`янська  ДНК;Перша Кам`янська  днк
180;596;;;Друга Кам`янська  ДНК;Друга Кам`янська  днк
181;597;;;Перша Криворізька ДНК;Перша Криворізька днк
182;598;;;Друга Криворізька ДНК;Друга Криворізька днк
183;599;;;Третя Криворізька ДНК;Третя Криворізька днк
184;600;;;Четверта Криворізька ДНК;Четверта Криворізька днк
185;601;;;П’ята Криворізька ДНК;П’ята Криворізька днк
186;602;;;Шоста Криворізька ДНК;Шоста Криворізька днк
187;603;;;Сьома Криворізька ДНК;Сьома Криворізька днк
188;604;;;Перша Нікопольська ДНК;Перша Нікопольська днк
189;605;;;Друга Нікопольська ДНК;Друга Нікопольська днк
190;606;;;Перша Павлоградська ДНК;Перша Павлоградська днк
191;607;;;Друга Павлоградська ДНК;Друга Павлоградська днк
192;608;;;Перша Синельниківська ДНК;Перша Синельниківська днк
193;609;;;Друга Синельниківська ДНК;Друга Синельниківська днк
194;610;;;Апостолівська ДНК;Апостолівська днк
195;611;;;Васильківська ДНК;Васильківська днк
196;612;;;Верхньодніпровська ДНК;Верхньодніпровська днк
197;613;;;Вільногірська ДНК;Вільногірська днк
198;614;;;Дніпровська районна ДНК;Дніпровська районна днк
199;615;;;Жовтоводська ДНК;Жовтоводська днк
200;616;;;Зеленодольська ДНК;Зеленодольська днк
201;617;;;Криничанська ДНК;Криничанська днк
202;618;;;Магдалинівська ДНК;Магдалинівська днк
203;619;;;Марганецька ДНК;Марганецька днк
204;620;;;Новомосковська міська ДНК;Новомосковська міська днк
205;621;;;Новомосковська районна ДНК;Новомосковська районна днк
206;622;;;Покровська міська ДНК;Покровська міська днк
207;623;;;П`ятихатська ДНК;П`ятихатська днк
208;624;;;Петриківська ДНК;Петриківська днк
209;625;;;Петропавлівська ДНК;Петропавлівська днк
210;626;;;Покровська ДНК;Покровська днк
211;627;;;Солонянська ДНК;Солонянська днк
212;628;;;Софіївська ДНК;Софіївська днк
213;629;;;Тернівська ДНК;Тернівська днк
214;630;;;Царичанська ДНК;Царичанська днк
215;631;;;Широківська ДНК;Широківська днк
216;632;;;Юр`ївська ДНК;Юр`ївська днк
217;633;;;Державний нотаріальний архів в Дніпропетровській області;Державний нотаріальний архів в Дніпропетровській області
218;634;;;Криворізька філія державного нотаріального архіву в Дніпропетровській області;Криворізька філія державного нотаріального архіву в Дніпропетровській області
219;635;;;Керівництво ГТУЮ;Керівництво ГТУЮ
220;636;;;Всі працівнки Дніпропетровського ГТУЮ;Всі працівнки Дніпропетровського ГТУЮ
221;650;;;Юридический отдел;Юридический отдел
222;651;;;Круг рассмотрения1;Круг рассмотрения1
223;652;;;Круг рассмотрения2;Круг рассмотрения2
224;654;;;Энерджи Трейд Груп - Дирекція;Энерджи Трейд Груп - Дирекція
225;655;;;Энерджи Трейд Груп - Бухгалтерія;Энерджи Трейд Груп - Бухгалтерія
226;656;;;Энерджи Трейд Груп - Відділ с продажу;Энерджи Трейд Груп - Відділ с продажу
227;657;;;Энерджи Трейд Груп - Юридичний відділ;Энерджи Трейд Груп - Юридичний відділ
228;684;;;Магазин Комфи;Магазин Комфи
229;685;;;Операционная дирекция;Операционная дирекция
230;686;;;Коммерческая дирекция;Коммерческая дирекция
231;688;;;Финансовый отдел;Финансовый отдел
