nID;sID_UA;sName_UA;sMeasure_UA
59;0105 99 10 00;Свійська птиця, тобто кури свійські (Gallus domesticus), качки, гуси, індики та цесарки, живі:  інші:  інші:  качки;-
60;0105 99 20 00;Свійська птиця, тобто кури свійські (Gallus domesticus), качки, гуси, індики та цесарки, живі:  інші:  інші:  гуси;-
61;0105 99 30 00;Свійська птиця, тобто кури свійські (Gallus domesticus), качки, гуси, індики та цесарки, живі:  інші:  інші:  індики;-
62;0105 99 50 00;Свійська птиця, тобто кури свійські (Gallus domesticus), качки, гуси, індики та цесарки, живі:  інші:  інші:  цесарки;-
63;0106;Інші тварини, живі:;-
64;0106 11 00;Інші тварини, живі:  ссавці:  примати:;-
65;0106 11 00 10;Інші тварини, живі:  ссавці:  примати:  для зоопарків;-
66;0106 11 00 90;Інші тварини, живі:  ссавці:  примати:  інші;-
67;0106 12 00;"Інші тварини, живі:  ссавці:  кити, дельфіни та морські свині (ссавці ряду Cetacea); ламантини та дюгоні (ссавці ряду Sirenia): ";-
68;0106 12 00 10;"Інші тварини, живі:  ссавці:  кити, дельфіни та морські свині (ссавці ряду Cetacea); ламантини та дюгоні (ссавці ряду Sirenia):  для зоопарків ";-
69;0106 12 00 90;"Інші тварини, живі:  ссавці:  кити, дельфіни та морські свині (ссавці ряду Cetacea); ламантини та дюгоні (ссавці ряду Sirenia):  інші ";-
70;0106 19;Інші тварини, живі:  ссавці:  інші:;-
71;0106 19 10 00;Інші тварини, живі:  ссавці:  інші:  кролі свійські;-
72;0106 19 90;Інші тварини, живі:  ссавці:  інші:  інші:;-
73;0106 19 90 10;Інші тварини, живі:  ссавці:  інші:  інші:  для зоопарків;-
74;0106 19 90 90;Інші тварини, живі:  ссавці:  інші:  інші:  інші;-
75;0106 20 00;Інші тварини, живі:  рептилії (включаючи змій і черепах):;-
76;0106 20 00 10;Інші тварини, живі:  рептилії (включаючи змій і черепах):  для зоопарків;-
77;0106 20 00 90;Інші тварини, живі:  рептилії (включаючи змій і черепах):  інші;-
78;0106 31 00;Інші тварини, живі:  птахи:  хижі птахи:;-
79;0106 31 00 10;Інші тварини, живі:  птахи:  хижі птахи:  для зоопарків;-
80;0106 31 00 90;Інші тварини, живі:  птахи:  хижі птахи:  інші;-
81;0106 32 00;Інші тварини, живі:  птахи:  папугоподібні (включаючи папуг, довгохвостих папуг, ара та какаду):;-
82;0106 32 00 10;Інші тварини, живі:  птахи:  папугоподібні (включаючи папуг, довгохвостих папуг, ара та какаду):  для зоопарків;-
83;0106 32 00 90;Інші тварини, живі:  птахи:  папугоподібні (включаючи папуг, довгохвостих папуг, ара та какаду):  інші;-
84;0106 39;Інші тварини, живі:  птахи:  інші:;-
85;0106 39 10;Інші тварини, живі:  птахи:  інші:  голуби:;-
86;0106 39 10 10;Інші тварини, живі:  птахи:  інші:  голуби:  для зоопарків;-
87;0106 39 10 90;Інші тварини, живі:  птахи:  інші:  голуби:  інші;-
88;0106 39 90;Інші тварини, живі:  птахи:  інші:  інші:;-
89;0106 39 90 10;Інші тварини, живі:  птахи:  інші:  інші:  для зоопарків;-
90;0106 39 90 90;Інші тварини, живі:  птахи:  інші:  інші:  інші;-
91;0106 90 00;Інші тварини, живі:  інші:;-
92;0106 90 00 10;Інші тварини, живі:  інші:  для зоопарків;-
93;0106 90 00 90;Інші тварини, живі:  інші:  інші;-
94;0201;М'ясо великої рогатої худоби, свіже або охолоджене:;-
95;0201 10 00 00;М'ясо великої рогатої худоби, свіже або охолоджене:  туші та половини туш;-
96;0201 20;М'ясо великої рогатої худоби, свіже або охолоджене:  інші відруби, необвалені:;-
97;0201 20 20 00;М'ясо великої рогатої худоби, свіже або охолоджене:  інші відруби, необвалені:  компенсовані четвертини;-
98;0201 20 30 00;М'ясо великої рогатої худоби, свіже або охолоджене:  інші відруби, необвалені:  нерозділені або розділені передні четвертини;-
99;0201 20 50 00;М'ясо великої рогатої худоби, свіже або охолоджене:  інші відруби, необвалені:  нерозділені або розділені задні четвертини;-
100;0201 20 90 00;М'ясо великої рогатої худоби, свіже або охолоджене:  інші відруби, необвалені:  інші;-
