nID;sID;sType;sURL_Alpha;sURL_Beta;sURL_Omega;sURL
0;Common_Region_Old;Region;;;;https://alpha-old.test.region.igov.org.ua/wf
1;Common_Central_Old;Central;;;;https://alpha-old.test.igov.org.ua/wf
2;Kiev_Region;Region;;;;https://test.admin.es.kievcity.gov.ua/wf
3;Local_Region;Region;;;;http://10.1.11.86/wf-region
4;Common_Central;Central;;;;https://alpha.test.igov.org.ua/wf
5;Common_Region;Region;;;;https://alpha.test.region.igov.org.ua/wf
11;MVD_CSC_Region;Region;;;;https://mvs-sc.test.region.igov.org.ua:8443/wf
15;MU_DP_Region;Region;;;;https://mu-dp.test.region.igov.org.ua/wf
