nID;sName;nID_Region;sID_UA
1;Дніпро (Дніпропетровськ);1;1210100000
2;Кривий Ріг;1;1211000000
3;Львів;2;4610100000
4;Івано-Франківськ;3;2610100000
5;Калуш;3;2610400000
6;Київ;5;8000000000
7;Херсон;6;6510100000
8;Вараш (Кузнецовськ);7;5610700000
9;Луцьк;8;710100000
10;Тернопіль;9;6110100000
11;Харків;24;6310100000
12;Одеса;21;5110100000
13;Донецьк;12;1410100000
14;Запоріжжя;15;2310100000
15;Миколаїв;20;4810100000
16;Маріуполь;12;1412300000
17;Луганськ;18;4410100000
18;Макіївка;12;1413500000
19;Вінниця;11;510100000
20;Сімферополь;10;110100000
21;Полтава;22;5310100000
22;Чернігів;28;7410100000
23;Черкаси;26;7110100000
24;Суми;23;5910100000
25;Горлівка;12;1410600000
26;Хмельницький;25;6810100000
27;Житомир;13;1810100000
28;Кам’янське (Дніпродзержинськ);1;1210400000
29;Кропивницький (Кіровоград);17;3510100000
30;Рівне;7;5610100000
31;Чернівці;27;7310100000
32;Кременчук;22;5310400000
33;Біла Церква;16;3210300000
34;Краматорськ;12;1412900000
35;Мелітополь;15;2310700000
36;Керч;10;111200000
37;Нікополь;1;1211600000
38;Слов'янськ;12;1414100000
39;Бердянськ;15;2310400000
40;Сєвєродонецьк;18;4412900000
41;Алчевськ;18;4411200000
42;Павлоград;1;1212400000
43;Ужгород;14;2110100000
44;Лисичанськ;18;4411800000
45;Євпаторія;10;110900000
46;Єнакієве;12;1412000000
47;Кам'янець-Подільський;25;6810400000
48;Костянтинівка;12;1412600000
49;Хрустальний (Красний Луч);18;4411600000
50;Олександрія;17;3520300000
51;Конотоп;23;5910400000
52;Кадіївка (Стаханов);18;4413100000
53;Умань;26;7110800000
54;Бердичів;13;1810400000
55;Шостка;23;5911000000
56;Бровари;16;3210600000
57;Ізмаїл;21;5110600000
58;Бахмут (Артемівськ);12;1410300000
59;Мукачеве;14;2110400000
60;Ялта;10;111900000
61;Дрогобич;2;4610600000
62;Ніжин;28;7410400000
63;Феодосія;10;111600000
64;Довжанськ (Свердловськ);18;4412700000
65;Новомосковськ;1;1211900000
66;Чистякове (Торез);12;1414700000
67;Червоноград;2;4611800000
68;Первомайськ;18;4412100000
69;Сміла;26;7110500000
70;Покровськ (Красноармійськ);12;1413200000
71;Коростень;13;1810700000
72;Ковель;8;710400000
73;Рубіжне;18;4412500000
74;Прилуки;28;7410700000
75;Дружківка;12;1411700000
76;Харцизьк;12;1415000000
77;Лозова;24;6311000000
78;Антрацит;18;4410300000
79;Стрий;2;4611200000
80;Коломия;3;2610600000
81;Шахтарськ;12;1415300000
82;Сніжне;12;1414400000
83;Новоград-Волинський;13;1811000000
84;Енергодар;15;2312500000
85;Ізюм;24;6310400000
86;Мирноград (Димитров);12;1411300000
87;Брянка;18;4410500000
88;Чорноморськ (Іллічівськ);21;5110800000
89;Бориспіль;16;3210500000
90;Нововолинськ;8;710700000
91;Ровеньки;18;4412300000
92;Жовті Води;1;1210700000
93;Лубни;22;5310700000
94;Нова Каховка;6;6510700000
95;Фастів;16;3211200000
96;Білгород-Дністровський;21;5110300000
97;Горішні Плавні (Комсомольськ);22;5310200000
98;Сорокине (Краснодон);18;4411400000
99;Ромни;23;5910700000
100;Охтирка;23;5910200000
101;Світловодськ;17;3510900000
102;Марганець;1;1211300000
103;Шепетівка;25;6810700000
104;Покров (Орджонікідзе);1;1212100000
105;Торецьк (Дзержинськ);12;1411200000
106;Джанкой;10;110600000
107;Первомайськ;20;4810400000
108;Миргород;22;5310900000
109;Вознесенськ;20;4810200000
110;Подільськ (Котовськ);21;5111200000
111;Ірпінь;16;3210900000
112;Васильків;16;3210700000
113;Дубно;7;5610300000
114;Володимир-Волинський;8;710200000
115;Каховка;6;6510400000
116;Южноукраїнськ;20;4810800000
117;Борислав;2;4610300000
118;Ясинувата;12;1415500000
119;Жмеринка;11;510300000
120;Авдіївка;12;1410200000
121;Чугуїв;24;6312000000
122;Самбір;2;4610900000
123;Токмак;15;2311000000
124;Боярка;16;3222410300
125;Глухів;23;5910300000
126;Добропілля;12;1411500000
127;Старокостянтинів;25;6810800000
128;Голубівка (Кіровськ);18;1423055700
129;Вишневе;16;3222410600
130;Нетішин;25;6810500000
131;Славута;25;6810600000
132;Могилів-Подільський;11;510400000
133;Обухів;16;3211600000
134;Первомайський;24;6311500000
135;Куп'янськ;24;6310700000
