nID;sID_UA;sName_UA;sName_EN;sID_Currency
135;716;Долар Зімбабве;Zimbabwe Dollar;ZWD
136;724;Іспанська песета;Spаnish Peseta;ESP
137;736;Суданський динар;Sudanese Dinar;SDD
138;740;Сурінамський гульден;Surinam Guilder;SRG
139;748;Ліланджені;Lilangeni;SZL
140;752;Шведська крона;Swedish Krona;SEK
141;756;Швейцарський франк;Swiss Franc;CHF
142;760;Сірійський фунт;Syrian Pound;SYP
143;764;Бат;Baht;THB
144;776;Паанґа;Pa'anga;TOP
145;780;Долар Тринідаду і Тобаго;Trinidad and Tobago Dollar;TTD
146;784;Дірхем ОАЕ;UAE Dirham;AED
147;788;Туніський динар;Tunisian Dinar;TND
148;792;Турецька ліра;Turkish Lira;TRL
149;795;Манат;Manat;TMM
150;800;Уґандійський шилінг;Uganda Shilling;UGX
151;807;Денар;Denar;MKD
152;818;Єгипетський фунт;Egyptian Pound;EGP
153;826;Фунт стерлінгів;Pound Sterling;GBP
154;834;Танзанійський шилінг;Tanzanian Shilling;TZS
155;840;Долар США;US Dollar;USD
156;858;Уругвайський песо;Peso Uruguayo;UYU
157;860;Узбецький сум;Uzbekistan Sum;UZS
158;862;Болівар;Bolivar;VEB
159;882;Тала;Tala;WST
160;886;Єменський ріал;Yemeni Rial;YER
161;891;Югославський динар;Yugoslavian Dinar;YUM
162;894;Квача (Замбiя);Kwacha (Zambia);ZMK
163;901;Новий тайваньський долар;New Taiwan Dollar;TWD
164;950;КФА франк BEAC;CFA Franc BEAC;XAF
165;951;Східнокарибський долар;East Caribbean Dollar;XCD
166;952;КФА франк BCEAO;CFA Franc BCEAO;XOF
167;953;КФП франк;CFP Franc;XPF
168;955;Європейський союз композитивів;European Composite Unit (EURCO);XBA
169;956;Європейський валютний союз;European Monetary Unit (E.M.U.-6);XBB
170;957;Європейський союз рахунку 9;European Unit of Account 9 (E.U.A.-9);XBC
171;958;Європейський союз рахунку 17;European Unit of Account 17 (E.U.A.-17);XBD
172;959;Золото;Gold;XAU
173;960;СДР (Спеціальні права запозичення);SDR;XDR
174;961;Срібло;Silver;XAG
175;962;Платина;Platinum;XPT
176;963;РЕЗЕРВНІ КОДИ СПЕЦІАЛЬНОГО ПРИЗНАЧЕННЯ;Codes specifically reserved for testing purposes;XTS
177;964;Паладій;Palladium;XPD
178;972;Сомоні;Somoni;TJS
179;973;Кванза;Kwanza;AOA
180;974;Білоруський рубль;Belarussian Ruble;BYR
181;975;Болгарський лев;Bulgarian Lev;BGN
182;976;Конголезький франк;Franc Congolais;CDF
183;977;Конвертована марка;Convertible Marks;BAM
184;978;Євро;Euro;EUR
185;979;Мексиканський Юнідад де Інверсіон (UDI);Mexican Unidad de Inversion (UDI);MXV
186;980;Гривня;Hryvnia;UAH
187;981;Ларі;Lari;GEL
188;983;Юнідад де валор константе;Unidad de Valor Constante (UVC);ECV
189;984;Мвдол;Mvdol;BOV
190;985;Злотий;Zloty;PLN
191;986;Бразильський ріал;Brazilian Real;BRL
192;990;Юнідадес де фоменто;Unidades de fomento;CLF
193;997;Долар США (Наступного дня);US Dollar (Next day);USN
194;998;Долар США (Цього дня);US Dollar (Same day);USS
195;999;КОДИ, ПРИЗНАЧЕНІ ДЛЯ КОНТРАКТІВ, У ЯКИХ НЕМАЄ ПОСИЛАНЬ НА ВАЛЮТИ;The codes assigned for transactions where no currency is involved are:;XXX
