nID;nID_Subject_Source;sID_Private_Source;sName
131;471;27.02;Краски полиграфические, фольга для горячего тиснения и материалы вспомогательные
132;471;27.03;Антикоррозионные покрытия
133;471;28.01;Резины сырые
134;471;28.01.01;Регенерат, клеи разные, изделия из латексов, клеев и продукция гуммированная
135;471;28.02;Шины и изделия шинной промышленности
136;471;28.03;Изделия формовые резинотехнические, неформовые резино - технические
137;471;28.04;Рукава
138;471;28.05;Ленты конвейерные
139;471;28.06;Ремни, ткани прорезиненные и изделия из них
140;471;28.07;Изделия асбестовые технические, включая набивки сальниковые неасбестовые
141;471;29.00;Смолы связующие, антислеживательные,концентраты
142;471;29.01;Спирты, фенол
143;471;29.02;Кислоты органические и их производные, эфиры, соединения, элементоорганические и гетероциклические
144;471;29.03;Соли органических кислот
145;471;29.04;Смолы, дегти, пеки и вары
146;471;29.05;Соединения неорганические (кроме солей неорганических кислот) реактивных квалификаций
147;471;29.06;поверхностно активные вещества (ПАВ)
148;471;29.07;лигносульфонаты
149;471;30.01;Оборудование энергетическое и запасные части
150;471;30.01.01;Ремонт оборудования энергетического
151;471;30.02;Оборудование энергетическое и запасные части
152;471;30.02.01;Ремонт оборудования энергетического
153;471;30.03;Оборудование вспомогательное энергетическое и запасные части
154;471;30.03.01;Ремонт вспомогательного энергетического оборудования
155;471;30.04;Оборудование водоочистки для энергетических установок и запасные части
156;471;30.04.01;Ремонт оборудования водоочистки для энергетических установок
157;471;30.05;Оборудование котельное и запасные части
158;471;30.05.01;Ремонт оборудования котельного
159;471;30.06;Оборудование теплообменное и запасные части
160;471;30.06.01;Ремонт оборудования теплообменного
161;471;30.07;Оборудование вспомогательное турбинное и запасные части
162;471;30.07.01;Ремонт вспомогательного турбинного оборудования
163;471;30.08;Оборудование вспомогательное системы пылеприготовления и запасные части
164;471;30.08.01;Ремонт вспомогательного оборудования системы пылеприготовления
165;471;30.09;Элементы котлов и топочные устройства и запасные части
166;471;30.09.01;Ремонт элементов котлов и топочных устройств
167;471;30.10;Энергопоезда и передвижные установки и запасные части
168;471;30.10.01;Ремонт энергопоездов и передвижных установок
169;471;30.11;Оборудование энергетическое прочее и запасные части
170;471;30.11.01;Ремонт прочего энергетического оборудования
171;471;30.12;Оборудование технологическое газоперекачивающих станций и запасные части
172;471;30.12.01;Ремонт технологического оборудования газоперекачивающих станций
173;471;30.13;Дизели и дизель - генераторы и запасные части
174;471;30.13.01;Ремонт дизелей и дизель-генераторов
175;471;30.14;Комплектующие изделия дизелей и дизель -генераторов и запасные части
176;471;30.15;Оборудование для черной и цветной металлургии
177;471;30.15.01;Ремонт оборудования для черной и цветной металлургии
178;471;30.16;Оборудование агломерационное (машины и механизмы окускования сырья) и запасные части
179;471;30.16.01;Ремонт оборудования агломерационного
180;471;30.16.02;Заливка дробильно-размольного оборудования компаундом
181;471;30.17;Агрегаты, машины и механизмы производства агломерата и окатышей и запасные части
182;471;30.17.01;Ремонт агрегатов, машин и механизмов производства агломерата и окатышей
183;471;30.18;Оборудование обогатительное и запасные части
184;471;30.18.01;Ремонт оборудования обогатительного
185;471;30.18.02;Ремонт насосного оборудования
186;471;30.19;Оборудование для гравитационного, магнитного и электрического обогащения (без лабораторного) и запасные части
187;471;30.19.01;Ремонт оборудования для гравитационного, магнитного и электрического обогащения
188;471;30.20;Оборудование для флотации (без лабораторного) и запасные части
189;471;30.20.01;Ремонт оборудования для флотации
190;471;30.21;Оборудование для обезвоживания и пылеулавливания (без лабораторного) и запасные части
191;471;30.21.01;Ремонт оборудования для обезвоживания и пылеулавливания
192;471;30.22;Оборудование для разделения, отбора и приготовления проб (без лабораторного)
193;471;30.22.01;Ремонт оборудования для разделения, отбора и приготовления проб
194;471;30.23;Питатели (без лабораторных) и запасные части
195;471;30.23.01;Ремонт питателей
196;471;30.24;Оборудование коксовое (машины и механизмы для производства кокса, без вагонов - опрокидывателей). Машины и механизмы коксовых печей и запасные части
197;471;30.24.01;Ремонт коксового оборудования (машины и механизмы для производства кокса, без вагонов - опрокидывателей). Машины и механизмы коксовых печей
198;471;30.25;Машины и механизмы тушения кокса и запасные части
199;471;30.25.01;Ремонт машин и механизмов тушения кокса
200;471;30.26;Машины и механизмы пекококсовых печей и запасные части
201;471;30.26.01;Ремонт машин и механизмов пекококсовых печей
202;471;30.27;Механизмы технологического обслуживания коксовых печей и запасные части
203;471;30.27.01;Ремонт механизмов технологического обслуживания коксовых печей
204;471;30.28;Оборудование доменное и сталеплавильное. Аппараты засыпные, распределители шихты, балансиры конусов и другие загрузочные механизмы и запасные части
205;471;30.28.01;Ремонт доменного и сталеплавильного оборудования
206;471;30.29;Машины и механизмы литейного двора, поддоменника, разливающие, транспортирования, толкающие, раздевания слитков (без кранов) и запасные части
207;471;30.29.01;Ремонт машин и механизмов литейного двора, поддоменника, разливающие, транспортирования, толкающие, раздевания слитков (без кранов) и запасные части
208;471;30.30;Агрегаты сталеплавильные непрерывного действия, вакуумирования и рафинирования стали и запасные части
209;471;30.30.01;Ремонт агрегатов сталеплавильных непрерывного действия, вакуумирования и рафинирования стали и запасные части
210;471;30.31;Конверторы и машины для их обслуживания и запасные части
211;471;30.31.01;Ремонт конверторов и машин для их обслуживания
212;471;30.32;Машины и оборудование для мартеновских печей и запасные части
213;471;30.32.01;Ремонт машин и оборудования для мартеновских печей
214;471;30.33;Машины и механизмы для производства ферросплавов и запасные части
215;471;30.33.01;Ремонт машин и механизмов для производства ферросплавов
216;471;30.34;Машины непрерывного литья и оборудованиеи и запасные части к ним
217;471;30.34.01;Ремонт машин непрерывного литья и оборудования
218;471;30.35;Агрегаты, станы, машины производства сплошного и полого профиля (комплексы) запасные части к ним
219;471;30.35.01;Ремонт агрегатов, станов, машин производства сплошного и полого профиля
220;471;30.36;Агрегаты, станы, машины производства сплошного и полого профиля
221;471;30.36.01;Ремонт агрегатов, станов, машин производства сплошного и полого профиля
222;471;30.37;Машины обвязочные, пакетировочные, клеймовочные, маркировочные и укладчики и запасные части к ним
223;471;30.37.01;Ремонт обвязочных, пакетировочных, клеймовочных, маркировочных машин и укладчиков
224;471;30.38;Клети рабочие, рольганги, составные части и механизмы приводов и запасные части к ним
225;471;30.38.01;Ремонт клетей и рольгангов
226;471;30.39;редуктора
227;471;30.40;Пневмоаппаратура, Гидроаппаратура
228;471;30.40.01;Ремонт: Пневмоаппаратура, Гидроаппаратура
229;471;31.01;Оборудование для вскрышных и очистных работ и крепления горных выработок и запасные части к ним
230;471;31.01.01;Ремонт оборудования для вскрышных и очистных работ и крепления горных выработок
231;471;31.02;Оборудование для вскрышных и очистных работ и крепления горных выработок и запасные части к ним
232;471;31.02.01;Ремонт оборудования для вскрышных и очистных работ и крепления горных выработок
233;471;31.02.02;запасные части к оборудованию для вскрышных и очистных работ и крепления горных выработок
234;471;31.03;Оборудование для вскрышных и очистных работ и крепления горных выработок и запасные части к ним
235;471;31.03.01;Ремонт оборудования для вскрышных и очистных работ и крепления горных выработок
236;471;31.04;Оборудование для вскрышных и очистных работ и крепления горных выработок и запасные части к ним
237;471;31.04.01;Ремонт оборудования для вскрышных и очистных работ и крепления горных выработок
238;471;31.05;Оборудование для вскрышных и очистных работ и крепления горных выработок и запасные части к ним
239;471;31.05.01;Ремонт оборудования для вскрышных и очистных работ и крепления горных выработок
240;471;31.05.02;Подъемные устройства экскаваторов с ковшом от 4 до 15 м. куб.
241;471;31.06;Оборудование для проходки горных выработок и запасные части к ним
242;471;31.06.01;Ремонт оборудования для проходки горных выработок
243;471;31.07;Оборудование для проходки горных выработок и запасные части к ним
244;471;31.07.01;Ремонт оборудования для проходки горных выработок
245;471;31.08;Оборудование для проходки горных выработок и запасные части к ним
246;471;31.08.01;Ремонт оборудования для проходки горных выработок
247;471;31.09;Оборудование для проходки горных выработок и запасные части к ним
248;471;31.09.01;Ремонт оборудования для проходки горных выработок
249;471;31.10;Оборудование для проходки горных выработок и запасные части к ним
250;471;31.10.01;Ремонт оборудования для проходки горных выработок
251;471;31.11;Оборудование для проходки горных выработок и запасные части к ним
252;471;31.11.01;Ремонт оборудования для проходки горных выработок
253;471;31.12;Оборудование для проходки горных выработок и запасные части к ним
254;471;31.12.01;Ремонт оборудования для проходки горных выработок
255;471;31.13;Оборудование стволовых подъемов и шахтного транспорта и запасные части к ним
256;471;31.14;Оборудование стволовых подъемов и шахтного транспорта и запасные части к ним
257;471;31.14.01;Ремонт оборудования стволовых подъемов и шахтного транспорта
258;471;31.15;Оборудование стволовых подъемов и шахтного транспорта и запасные части к ним
259;471;31.15.01;Ремонт оборудования стволовых подъемов и шахтного транспорта
260;471;31.16;Оборудование стволовых подъемов и шахтного транспорта и запасные части к ним
261;471;31.16.01;Ремонт оборудования стволовых подъемов и шахтного транспорта
262;471;31.17;Оборудование стволовых подъемов и шахтного транспорта
263;471;31.17.01;Ремонт оборудования стволовых подъемов и шахтного транспорта
264;471;31.18;Оборудование стволовых подъемов и шахтного транспорта
265;471;31.18.01;Ремонт оборудования стволовых подъемов и шахтного транспорта
266;471;31.19;Оборудование стволовых подъемов и шахтного транспорта
267;471;31.19.01;Ремонт оборудования стволовых подъемов и шахтного транспорта
268;471;31.20;Оборудование стволовых подъемов и шахтного транспорта
269;471;31.20.01;Ремонт оборудования стволовых подъемов и шахтного транспорта
270;471;31.21;Оборудование механизации поверхности шахт и околоствольных дворов
271;471;31.22;Оборудование механизации поверхности шахт и околоствольных дворов
272;471;31.22.01;Ремонт оборудования механизации поверхности шахт и околоствольных дворов
273;471;31.23;Оборудование механизации поверхности шахт и околоствольных дворов
274;471;31.23.01;Ремонт оборудования механизации поверхности шахт и околоствольных дворов
275;471;31.24;Оборудование механизации поверхности шахт и околоствольных дворов и запасные части к ним
276;471;31.24.01;Ремонт оборудования механизации поверхности шахт и околоствольных дворов
277;471;31.25;Оборудование механизации поверхности шахт и околоствольных дворов и запасные части к ним
278;471;31.25.01;Ремонт оборудования механизации поверхности шахт и околоствольных дворов
279;471;31.26;Оборудование механизации поверхности шахт и околоствольных дворов и запасные части к ним
280;471;31.26.01;Ремонт оборудования механизации поверхности шахт и околоствольных дворов
281;471;31.27;Оборудование для бурения шпуров и скважин, оборудование для зарядки и забойки взрывных скважин
282;471;31.28;Оборудование для бурения шпуров и скважин, оборудование для зарядки и забойки взрывных скважин
283;471;31.28.01;Ремонт оборудования для бурения шпуров и скважин, оборудование для зарядки и забойки взрывных скважин
284;471;31.29;Оборудование для бурения шпуров и скважин, оборудование для зарядки и забойки взрывных скважин
285;471;31.29.01;Ремонт оборудования для бурения шпуров и скважин, оборудование для зарядки и забойки взрывных скважин
286;471;31.30;Перфораторы пневматические (молотки бурильные) - ручные
287;471;31.30.01;Ремонт пневматичнских перфораторов (молотки бурильные)
288;471;31.31;Головки и машины бурильные, пневмоударники, навесное бурильное оборудование, патроны
289;471;31.31.01;Ремонт головок и машин бурильных, пневмоударников, навесного бурильного оборудования, патронов
290;471;31.32;Инструмент буровой
291;471;31.33;Инструмент горный
292;471;31.34;Аппаратура шахтной автоматизации, сигнализации и связи
293;471;31.35;Футеровка
294;471;31.36;Балансировка
295;471;31.37;Виброобследование, вибродиагностика
296;471;31.38;Наплавка рабочих поверхностей с последующей проточкой или без таковой
297;471;32.01;Запасные части к оборудованию горно - шахтному
298;471;32.02;Запасные части к оборудованию горно - шахтному
299;471;32.03;Запасные части к оборудованию горно - шахтному
300;471;32.04;Запасные части к оборудованию горно - шахтному
301;471;32.05;Запасные части к оборудованию горно - шахтному
302;471;32.06.01;Запасные части к горно-буровому оборудованию
303;471;32.06.02;Запасные части к горно-буровому оборудованию
304;471;33.01;Краны
305;471;33.01.01;Ремонт кранов
306;471;33.02;Лифты, эскалаторы, Траволаторы
307;471;33.02.01;Ремонт лифтов, эскалаторов, траволаторов
308;471;34.01.01;Запасные части к кранам
309;471;34.01.02;Запасные части к кранам
310;471;34.02;Запасные части к конвейерам
311;471;35.01;Конвейеры
312;471;35.01.01;Ремонт конвейеров
313;471;35.02;Тележки талей (кошки), тали , лебедки
314;471;36.01;Вагоны , полувагоны, платформы, цестерны
315;471;36.01.01;Ремонт вагонов , полувагонов, платформ, цестерн
316;471;36.02;Тепловозы, газотурбовозы, паровозы
317;471;36.02.01;Ремонт тепловозов, газотурбовозов, паровозов
318;471;36.03;Машины путевые и инструменты
319;471;36.03.01;Ремонт машин путевых
320;471;36.03.02;Ремонт жд путей и стрелочных переводов
321;471;36.04;Инструменты и механизмы для работы с рельсами - со шпалами - с креплениями
322;471;36.05;Стрелочные переводы и комплектующие к ним
323;471;37.01;Запасные части к ж/д транспорту (без электрооборудования)
324;471;37.02;Запасные части к ж/д транспорту (с элетрооборудованием)
325;471;38.01;Электродвигатели
326;471;38.01.01;Ремонт электродвигателей
327;471;38.01.02;Ремонт электрических магнитов
328;471;38.02;Генераторы переменного тока. Преобразователи и усилители электромашинные, электростанции передвижные и электроагрегаты питания
329;471;38.02.01;Ремонт генераторов переменного тока. Преобразователей и усилителей электромашинных, электростанциий передвижных и электроагрегатов питания
330;471;38.03;Турбо- и гидрогенераторы, электропреобразователи крупные
331;471;38.03.01;Ремонт турбо- и гидрогенераторов, электропреобразователей
332;471;38.04;Насосное оборудование
333;471;38.04.01;з/ч к насосному оборудованию
334;471;38.05;Оборудование для АЗС
335;471;38.06;Механизмы исполнительные однооборотные МЭО
336;471;39.01;Запасные части к электродвигателям и электрическим машинам
337;471;4.01;Охрана
338;471;4.02;Аренда техники
339;471;40.01;Трансформаторы и трансформаторное оборудование
340;471;40.01.01;Ремонт трансформаторов и трансформаторного оборудования
341;471;40.01.02;Комплектные трансформаторные подстанции
342;471;40.02;Оборудование низковольтное
343;471;40.02.01;Запасные части к низковольтному оборудованию
344;471;40.03;Отопительное оборудование
345;471;40.04;Радиоэлектронные комплектующие
346;471;40.05;Силовые полупроводники
347;471;40.06;Низковольтные комплектные устройства (НКУ)
348;471;40.06.01;Низковольтные комплектные устройства экскаваторные (НКУЭ)
349;471;40.07;Установки бесперебойного электропитания,электропитающие установки,системы гарантированного питания
350;471;40.09;Электрические лампы, светильники и фонари аккумуляторные, светильники точечные, электроустановочные изделия
351;471;40.10;Светильники промышленного освещения, прожекторы
352;471;40.11;Источники тока химические, физические
353;471;40.12;Электроизоляционные. Материалы и изделия
354;471;40.13;Изоляторы электрокерамические и стеклянные
355;471;40.14;Изделия электроугольные - щетки для электрических машин (включая группы щеточные)
356;471;40.14.01;Щеткодержатели
357;471;40.15;Оборудование высоковольтное
358;471;40.16;Комплектные распределительные устройства КРУ-6 (10) кВ
359;471;40.17;Комплектные распределительные устройства КРУ-35 кВ и выше
360;471;40.18;конденсаторные установки,кондесаторы,установки компенсации реактивной мощности
361;471;40.19;Частотные преобразователи и устройства плавного пуска
362;471;41.01;Электротранспорт (кроме городского и мотор - вагонных поездов)
363;471;42.01;Запасные части к электровозам
364;471;42.02;Ремонт электровозов
365;471;43.01;Электротранспорт производственный напольный безрельсовый
366;471;44.01.01;Запасные части к электопогрузчикам, электротележкам, электротягачам
367;471;45.01;Кабельно-проводниковая продукция
368;471;45.02;Арматура кабельная
369;471;45.03;Изделия для прокладки и защиты электропроводов и кабелей
370;471;46.00;Запорная арматура
371;471;47.00;Детали трубопроводов
372;471;47.01;Станки металлорежущие
373;471;47.01.01;Ремонт станков металлорежущих
374;471;47.02;Прессы, Машины кузнечно - прессовые
375;471;47.02.01;Ремонт прессов, машин кузнечно-прессовых
376;471;47.03;Станки деревообрабатывающие
377;471;47.03.01;Ремонт станков деревообрабатывающих
378;471;47.04;Оборудование для СТО
379;471;48.00;Геомодификаторы трения
380;471;48.01;Инструмент металлорежущий
381;471;48.02;Инструмент измерительный
382;471;48.03;Инструмент абразивный, материалы абразивные
383;471;48.04;Цепи
384;471;48.05;Электроинструмент
385;471;48.06;Ручной инструмент
386;471;48.07;Бензиновый инструмент
