nID_SubjectGroup_Parent;nID_SubjectGroup_Child
1;2
1;3
1;4
1;5
100;101
101;102
102;103
102;104
102;105
102;106
102;107
102;108
102;109
102;110
102;111
102;112
101;113
113;114
113;115
113;116
113;117
113;118
113;119
101;120
120;121
100;122
122;123
123;124
123;125
123;126
123;127
123;128
123;129
123;130
123;131
123;132
122;133
133;134
133;135
133;136
133;137
133;138
133;139
133;140
133;141
133;142
133;143
133;144
122;145
145;146
145;147
145;148
145;149
145;150
145;151
145;152
145;153
145;154
145;155
145;156
145;157
145;158
145;159
122;160
160;161
122;162
122;163
163;164
163;165
163;166
163;167
163;168
163;169
163;170
163;171
100;172
172;173
172;174
174;175
174;176
174;177
174;178
174;179
172;180
180;181
180;182
180;183
180;184
180;185
180;186
180;187
172;188
188;189
188;190
188;191
188;192
188;193
188;194
188;195
188;196
188;197
188;198
188;199
188;200
188;201
188;202
188;203
172;204
100;205
205;206
205;207
207;208
207;209
207;210
207;211
207;212
207;213
205;214
214;215
214;216
214;217
214;218
205;219
219;220
219;221
219;222
219;223
205;224
224;225
224;226
224;227
224;228
100;229
229;230
230;231
230;232
230;233
229;234
234;235
234;236
234;237
100;238
238;239
238;240
240;241
240;242
240;243
240;244
240;245
238;246
246;247
246;248
246;249
246;250
246;251
100;252
252;253
253;254
253;255
253;256
253;257
253;258
253;259
253;260
253;261
253;262
253;263
100;264
264;265
264;266
100;267
