nID;sName;nID_ServiceData;nID_SubjectOrganDepartment;sID_BP;nCountAutoGenerate;sGroup
373;м.Дніпро Дніпропетровський районний відділ;3964;209;common_zags_divorce;NULL;
374;м.Кривий Ріг Криворізький районний відділ;3742;210;common_zags_divorce;NULL;
375;смт.Кринички Криничанський районний відділ;3743;211;common_zags_divorce;NULL;
376;смт.Магдалинівка Магдалинівський районний відділ;3744;212;common_zags_divorce;NULL;
377;смт.Межова Межівський районний відділ;3745;213;common_zags_divorce;NULL;
378;м.Нікополь Нікопольський міськрайонний відділ;3746;214;common_zags_divorce;NULL;
379;м.Новомосковськ  Новомосковський міськрайонний відділ;3747;215;common_zags_divorce;NULL;
380;м.Павлоград Павлоградський районний відділ;3748;216;common_zags_divorce;NULL;
381;смт.Петриківка Петриківський районний відділ;3749;217;common_zags_divorce;NULL;
382;смт.Петропавлівка Петропавлівський районний відділ;3750;218;common_zags_divorce;NULL;
383;смт.Покровське Покровський районний відділ;3751;219;common_zags_divorce;NULL;
384;м.П’ятихатки П’ятихатський районний відділ;3752;220;common_zags_divorce;NULL;
385;смт.Солоне Солонянський районний відділ;3753;221;common_zags_divorce;NULL;
386;смт.Софіївка Софіївський районний відділ;3754;222;common_zags_divorce;NULL;
387;смт.Томаківка Томаківський районний відділ;3755;223;common_zags_divorce;NULL;
388;смт.Царичанка Царичанський районний відділ;3756;224;common_zags_divorce;NULL;
389;смт.Юр’ївка Юр’ївський районний відділ;3757;225;common_zags_divorce_auto;NULL;testGroup_1
390;смт.Широке Широківський районний відділ;3949;226;common_zags_divorce_auto;NULL;testGroup_1
391;Психоневрологічна лікарня - Рамазон С.В.;3511;234;med_1562_zapys;NULL;
392;Психоневрологічна лікарня - Кулянда Т.І.;3511;235;med_1562_zapys;NULL;
393;Психоневрологічна лікарня - Колеснікова Н.І..;3511;236;med_1562_zapys;NULL;
394;Тернопільський міський відділ державної виконавчої служби Головного територіального управління юстиції у Тернопільській області;3590;237;dvs_619;NULL;
395;Тернопільська психлікарня - зброя;3593;238;med_1562_zbroya;NULL;
396;ДМС, м. Борщів, вул. І.Франка, 10, Загран;1179;239;dms_0176_Zagran_iGov;NULL;
397;с. Недобоївці, Хотинський р-н, вул. Головна, 28а, Регистрация;3597;240;dnepr_dms-89_auto;40;REGISTRATION_DAY5
398;ДМС,  м. Бучач, вул. Міцкевича, 6, Загран;1179;241;dms_0176_Zagran_iGov;NULL;
399;Тернопільська психлікарня - водіння;3602;238;med_1567_vodinnya;NULL;
400;м.Хмельницький Регистрация;3908;242;dnepr_dms-89_auto;40;REGISTRATION_DAY5
401;м.Шумськ Реєстрація;3959;243;dnepr_dms-89_auto;40;REGISTRATION_DAY5
402;ДМС, м. Теребовля, вул. Січових Стрільців, 13, Загран;1179;244;dms_0176_Zagran_iGov;NULL;

403;м.Маріуполь Регистрация;3304;245;dnepr_dms-89_auto;40;REGISTRATION_DAY5
404;м.Сєвєродонецьк Регистрация;3989;246;dnepr_dms-89_auto;40;REGISTRATION_DAY5
405;м.Дрогобич Регистрация;3310;247;dnepr_dms-89_auto;40;REGISTRATION_DAY5
406;м.Вугледар Регистрация;3322;248;dnepr_dms-89_auto;40;REGISTRATION_DAY5
407;м.Рівне Регистрация;4140;249;dnepr_dms-89_auto;40;REGISTRATION_DAY6

408;Тест _test_all_case;4000;250;_test_all_case;NULL;
409;Відділ примусового виконання рішень управління ДВС Головного територіального управління юстиції у Тернопільській області ;3590;251;dvs_619;NULL;
410;Бережанський міжрайонний відділ державної виконавчої служби Головного територіального управління юстиції у Тернопільській області;3590;252;dvs_619;NULL;
411;Борщівський районний відділ державної виконавчої служби Головного територіального управління юстиції у Тернопільській області;3590;253;dvs_619;NULL;
412;Бучацький міжрайонний відділ державної виконавчої служби Головного територіального управління юстиції у Тернопільській області;3590;254;dvs_619;NULL;
413;Гусятинський районний відділ державної виконавчої служби Головного територіального управління юстиції у Тернопільській області;3590;255;dvs_619;NULL;
414;Заліщицький районний відділ державної виконавчої служби Головного територіального управління юстиції у Тернопільській області;3590;256;dvs_619;NULL;
415;Збаразький міжрайонного відділ державної виконавчої служби Головного територіального управління юстиції у Тернопільській області;3590;257;dvs_619;NULL;
416;Зборівський районний відділ державної виконавчої служби Головного територіального управління юстиції у Тернопільській області;3590;258;dvs_619;NULL;
417;Козівський районний відділ державної виконавчої служби Головного територіального управління юстиції у Тернопільській області;3590;259;dvs_619;NULL;
418;Кременецький міськрайонний відділ державної виконавчої служби Головного територіального управління юстиції у Тернопільській області;3590;260;dvs_619;NULL;
419;Підволочиський районний відділ державної виконавчої служби Головного територіального управління юстиції у Тернопільській області;3590;261;dvs_619;NULL;
420;Теребовлянський районний відділ державної виконавчої служби Головного територіального управління юстиції у Тернопільській області;3590;262;dvs_619;NULL;
421;Тернопільський районний відділ державної виконавчої служби Головного територіального управління юстиції у Тернопільській області;3590;263;dvs_619;NULL;
422;Чортківський міськрайонний відділ державної виконавчої служби Головного територіального управління юстиції у Тернопільській області;3590;264;dvs_619;NULL;
423;Шумський районний відділ державної виконавчої служби Головного територіального управління юстиції у Тернопільській області;3590;265;dvs_619;NULL;
424;Екологія Дніпро ОДА;4068;266;eco_1556_EcoEkspert;NULL;
425;м.Чортків Регистрация;3334;267;dnepr_dms-89_auto;40;REGISTRATION_DAY5
426;ДМС, Днепр, Самарский, Загран;627;28;dms_0177_zagranChild_iGov;NULL;
427;м.Боярка Регистрация;3346;270;dnepr_dms-89_auto;40;REGISTRATION_DAY5

428;ДМС, м. Кам'янське, Баглійський, Загран;627;271;dms_0177_zagranChild_iGov_auto;14;DMS
429;ДМС, м. Кам'янське, Дніпровський, Загран;627;272;dms_0177_zagranChild_iGov_auto;14;DMS
430;ДМС, м.Вільногірськ, Загран;627;273;dms_0177_zagranChild_iGov_auto;14;DMS
431;ДМС, м. Жовті Води, Загран;627;274;dms_0177_zagranChild_iGov_auto;14;DMS
432;ДМС, смт. Петриківка , Загран;627;275;dms_0177_zagranChild_iGov_auto;14;DMS
433;ДМС, м. Синельникове, Загран;627;276;dms_0177_zagranChild_iGov_auto;14;DMS
434;ДМС, м. Кривий Ріг, Тернівський РС, Загран;627;277;dms_0177_zagranChild_iGov_auto;14;DMS

435;ДМС, м. Кам'янське, Баглійський, ID-карти;635;278;dms_0173_IDChangeFIO_iGov_auto;14;DMS
436;ДМС, м. Кам'янське, Дніпровський, ID-карти;635;279;dms_0173_IDChangeFIO_iGov_auto;14;DMS
437;ДМС, м.Вільногірськ, ID-карти;755;280;dms_0173_IDChangeFIO_iGov_auto;14;DMS
438;ДМС, м. Жовті Води, ID-карти;4174;281;dms_0173_IDChangeFIO_iGov_auto;14;DMS
439;ДМС, смт. Петриківка , ID-карти;4179;282;dms_0173_IDChangeFIO_iGov_auto;14;DMS
440;ДМС, м. Синельникове, ID-карти;4184;283;dms_0173_IDChangeFIO_iGov_auto;14;DMS
441;ДМС, м. Кривий Ріг, Тернівський РС, ID-карти;186;284;dms_0173_IDChangeFIO_iGov_auto;14;DMS
