nID_FlowPropertyClass;sData;nID_Flow;bExclude;sName;sRegionTime;saRegionWeekDay;sDateTimeAt;sDateTimeTo;nLen;sLenType;sGroup
1;{"0 45/30 13 ? * TUE-FRI":"PT30M"};9;false;Перерва;13:00-14:00;tu,we,th,fr;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 15,45/30 14-16 ? * TUE-FRI":"PT30M"};9;false;Денний прийом;14:00-16:00;tu,we,th,fr;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/30 9-14 ? * SAT":"PT30M"};9;false;Ранковий прийом;09:00-12:00;sa;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0 15 ? * SAT":"PT30M"};9;false;Перерва;13:00-14:00;sa;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;

1;{"0 0/30 9-12 ? * TUE-FRI":"PT30M"};10;false;Ранковий прийом;09:00-12:00;tu,we,th,fr;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 45/30 13 ? * TUE-FRI":"PT30M"};10;false;Перерва;13:00-14:00;tu,we,th,fr;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 15,45/30 14-16 ? * TUE-FRI":"PT30M"};10;false;Денний прийом;14:00-16:00;tu,we,th,fr;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/30 9-14 ? * SAT":"PT30M"};10;false;Ранковий прийом;09:00-12:00;sa;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0 15 ? * SAT":"PT30M"};10;false;Перерва;13:00-14:00;sa;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;

1;{"0 0/30 9-12 ? * TUE-FRI":"PT30M"};11;false;Ранковий прийом;09:00-12:00;tu,we,th,fr;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 45/30 13 ? * TUE-FRI":"PT30M"};11;false;Перерва;13:00-14:00;tu,we,th,fr;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 15,45/30 14-16 ? * TUE-FRI":"PT30M"};11;false;Денний прийом;14:00-16:00;tu,we,th,fr;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/30 9-14 ? * SAT":"PT30M"};11;false;Ранковий прийом;09:00-12:00;sa;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0 15 ? * SAT":"PT30M"};11;false;Перерва;13:00-14:00;sa;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;

1;{"0 0/15 8-15 ? * MON-FRI *":"PT15M"};12;false;Прийом в робочі дні;08:00-15:00;mo,tu,we,th,fr;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;










1;{"0 0/15 8-16 ? * MON,WED,FRI *":"PT15M"};45;false;Прийом пн,ср,пт;08:00-17:00;mo,we,fr;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 8-19 ? * TUE,THU *":"PT15M"};45;false;Прийом вт,чт;08:00-20:00;tu,th;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
