nID;sName;sGroup_Activiti;nID_SubjectOrgan
58;ДМС, Кривой Рог, вул. Бородича, 3 (dms_0176_Zagran_iGov);demoavir;2
59;ДМС, Кривой Рог, вул. Шурупова, 7 (dms_0176_Zagran_iGov);demoavir;2
60;ДМС, Кривой Рог, вул. Мелешкіна, 47к (dms_0176_Zagran_iGov);demoavir;2
61;ДМС, Житомир, вул. Пушкінська, 44 (dms_0176_Zagran_iGov);demoavir;2
62;смт. Лисянка, пл. Миру, 27 (dnepr_dms-89);demoavir;2
63;МВК, Новопсков, вул. Гагарина, 63 (scadovsk_mvk-302);mvk_forma3_skadovsk;2
64;МВК, м. Жовті Води, бульв. Свободи, 33 (scadovsk_mvk-302);mvk_forma3_skadovsk;2
65;ДМС, м. Тернопіль, вул.Є.Коновальця,6 (dms_0176_Zagran_iGov);demoavir;2
66;ЦНАП м. Чугуєва (dnepr_dms-89);demoavir;2
67;ЦНАП м. Лозова (dnepr_dms-89);demoavir;2
68;ЦНАП при Куп'янській РДА (dnepr_dms-89);demoavir;2
69;ЦНАП м. Нетішин (scadovsk_mvk-302);mvk_forma3_skadovsk;2
70;ЦНАП м. Кривий Ріг (dnepr_dms-89);demoavir;2
71;ЦНАП м. Марганець (dnepr_dms-89);demoavir;2
72;ЦНАП м. Нікополь (dnepr_dms-89);demoavir;2
73;ЦНАП м. Павлоград (dnepr_dms-89);demoavir;2
74;ЦНАП м. Синельникове (dnepr_dms-89);demoavir;2
75;ЦНАП м. Тернівка (dnepr_dms-89);demoavir;2
76;ЦНАП Апостолівський район (dnepr_dms-89);demoavir;2
77;ЦНАП Васильківський район (dnepr_dms-89);demoavir;2
78;ЦНАП Верхньодніпровський район (dnepr_dms-89);demoavir;2
79;ЦНАП Дніпропетровський район (dnepr_dms-89);demoavir;2
80;ЦНАП Криворізький район (dnepr_dms-89);demoavir;2
81;ЦНАП Криничанський район (dnepr_dms-89);demoavir;2
82;ЦНАП Магдалінівський район (dnepr_dms-89);demoavir;2
83;ЦНАП Межівський район (dnepr_dms-89);demoavir;2
84;ЦНАП Нікопольський район (dnepr_dms-89);demoavir;2
85;ЦНАП Павлоградський район (dnepr_dms-89);demoavir;2
86;ЦНАП Петриківський район (dnepr_dms-89);demoavir;2
87;ЦНАП Петропавлівський район (dnepr_dms-89);demoavir;2
88;ЦНАП Покровський район (dnepr_dms-89);demoavir;2
89;ЦНАП Синельниковський район (dnepr_dms-89);demoavir;2
90;ЦНАП Солонянський район (dnepr_dms-89);demoavir;2
91;ЦНАП Софіївський район (dnepr_dms-89);demoavir;2
92;ЦНАП Томаківський район (dnepr_dms-89);demoavir;2
93;ЦНАП Царичанський район (dnepr_dms-89);demoavir;2
94;ЦНАП Широківський район (dnepr_dms-89);demoavir;2
95;ЦНАП Юр'ївський район (dnepr_dms-89);demoavir;2
96;ЦНАП м. Орджонікідзе (dnepr_dms-89);demoavir;2
97;Амур-Нижньодніпровський відділ ДВС м. Дніпропетровськ (dvs_619);dvs_and;128
98;Бабушкінський відділ ДВС м. Дніпропетровськ (dvs_619);dvs_bab;128
99;Жовтневий відділ ДВС м. Дніпропетровськ (dvs_619);dvs_zhovt;128
100;Індустріальний відділ ДВС м. Дніпропетровськ (dvs_619);dvs_indust;128
