nID;nID_Service;nID_Place;nID_City;nID_Region;nID_ServiceType;oData;sURL;bHidden;nID_Subject_Operator;bTest;sNote;asAuth;nID_Server
442;767;6;6;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"kiev_soc_help_150:1:1"}};https://test-version.region.igov.org.ua/wf/;false;1;false;;BankID,EDS;0
443;781;6;6;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"kiev_soc_help_163:1:1"}};https://test-version.region.igov.org.ua/wf/;false;1;false;;BankID,EDS;0
444;779;6;6;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"kiev_soc_help_165:1:1"}};https://test-version.region.igov.org.ua/wf/;false;1;false;;BankID,EDS;0
445;777;6;6;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"kiev_soc_help_156:1:1"}};https://test-version.region.igov.org.ua/wf/;false;1;false;;BankID,EDS;0
446;787;6;6;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"kiev_soc_help_175:1:1"}};https://test-version.region.igov.org.ua/wf/;false;1;false;;BankID,EDS;0
447;786;6;6;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"kiev_soc_help_177:1:1"}};https://test-version.region.igov.org.ua/wf/;false;1;false;;BankID,EDS;0
448;28;1;1;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"dnepr_dms-205:1:1"}};https://test-version.region.igov.org.ua/wf/;false;1;false;;BankID,EDS;0
449;102;50001;NULL;1;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"dnepr_cnap_211:1:1"}};https://test-version.region.igov.org.ua/wf/;false;211;false;;BankID,EDS;0
450;1394;NULL;NULL;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"_test_gris:1:1"}};https://test-version.region.igov.org.ua/wf/;false;1;true;;BankID,EDS;0
451;1395;28;28;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"dndz_cnap_200:1:1"}};https://test-version.region.igov.org.ua/wf/;false;1;false;;BankID,EDS;0
452;184;1;1;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"dnepr_dms-212:1:1"}};https://test-version.region.igov.org.ua/wf/;false;1;false;;BankID,EDS;0
453;1397;NULL;NULL;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"common_mreo_1:1:58"}};https://test-version.region.igov.org.ua/wf/;false;1;true;;BankID,EDS;0
454;667;15;15;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"nikolaev_oda_6:1:1"}};https://test-version.region.igov.org.ua/wf/;false;1;true;;BankID,ESD;0
455;20;1;NULL;1;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"dnepr_cnap_213:1:1"}};https://test-version.region.igov.org.ua/wf/;false;1;true;;BankID,EDS;0
456;1398;1;NULL;1;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"dnepr_cnap_220:1:1"}};https://test-version.region.igov.org.ua/wf/;false;1;true;;BankID,EDS;0
457;1399;1;NULL;1;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"dnepr_cnap_221:1:1"}};https://test-version.region.igov.org.ua/wf/;false;1;true;;BankID,EDS;0
458;1400;1;NULL;1;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"dnepr_cnap_224:1:1"}};https://test-version.region.igov.org.ua/wf/;false;1;false;;BankID,EDS;0
459;1401;1;NULL;1;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"dnepr_cnap_222:1:1"}};https://test-version.region.igov.org.ua/wf/;false;1;true;;BankID,EDS;0
460;1402;1;NULL;1;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"dnepr_cnap_223:1:1"}};https://test-version.region.igov.org.ua/wf/;false;1;true;;BankID,EDS;0
461;702;50009;NULL;9;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"ternopol_oda_226:1:1"}};https://test-version.region.igov.org.ua/wf/;false;1;false;;BankID,EDS;0
462;41;50001;NULL;1;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"dnepr_cnap_225:1:1"}};https://test-version.region.igov.org.ua/wf/;false;225;false;;BankID,EDS;0
463;149;1;NULL;1;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"dnepr_cnap_229:1:1"}};https://test-version.region.igov.org.ua/wf/;false;1;false;;BankID,EDS;0
464;455;50001;NULL;1;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"dnepr_cnap_238:1:1"}};https://test-version.region.igov.org.ua/wf/;false;1;false;;BankID,EDS;0
465;1403;50009;NULL;9;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"ternopol_oda_239:1:1"}};https://test-version.region.igov.org.ua/wf/;false;1;true;;BankID,EDS;0
466;121;1;NULL;1;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"dnepr_cnap_230:1:1"}};https://test-version.region.igov.org.ua/wf/;false;1;false;;BankID,EDS;0
467;1404;1;NULL;1;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"dnepr_cnap_228:1:1"}};https://test-version.region.igov.org.ua/wf/;false;1;false;;BankID,EDS;0
468;173;1;1;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"dnepr_dms-227:1:1"}};https://test-version.region.igov.org.ua/wf/;false;1;false;;BankID,EDS;0
469;1405;1;NULL;1;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"dnepr_cnap_240:1:1"}};https://test-version.region.igov.org.ua/wf/;false;1;true;;BankID,EDS;0
470;1406;1;NULL;1;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"dnepr_cnap_241:1:1"}};https://test-version.region.igov.org.ua/wf/;false;1;true;;BankID,EDS;0
471;1407;1;NULL;1;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"dnepr_cnap_242:1:1"}};https://test-version.region.igov.org.ua/wf/;false;1;true;;BankID,EDS;0
472;1408;1;NULL;1;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"dnepr_cnap_214:1:1"}};https://test-version.region.igov.org.ua/wf/;false;1;true;;BankID,EDS;0
473;1409;1;NULL;1;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"dnepr_cnap_215:1:1"}};https://test-version.region.igov.org.ua/wf/;false;1;true;;BankID,EDS;0
474;1410;1;NULL;1;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"dnepr_cnap_243:1:1"}};https://test-version.region.igov.org.ua/wf/;false;1;true;;BankID,EDS;0
475;99;50001;NULL;1;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"dnepr_cnap_231:1:1"}};https://test-version.region.igov.org.ua/wf/;false;231;false;;BankID,EDS;0
