nID;sID;sType;sURL_Alpha;sURL_Beta;sURL_Omega;sURL
0;Common_Region;Region;;;;https://region.igov.org.ua/wf
1;Common_Central;Region;;;;https://igov.org.ua/wf
2;Kiev_Region;Region;;;;https://admin.es.kievcity.gov.ua/wf
