nID;sID;sType;sURL_Alpha;sURL_Beta;sURL_Omega;sURL
0;Common_Region;Region_Old;;;;https://test-version.region.igov.org.ua/wf
1;Common_Central;Region_Old;;;;https://test-version.igov.org.ua/wf
2;Kiev_Region;Region;;;;https://test.admin.es.kievcity.gov.ua/wf
4;Common_Central;Central;;;;https://test-delta.igov.org.ua/wf
5;Common_Region;Region;;;;https://test-delta.region.igov.org.ua/wf
